Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total subvención (€),Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1992,PROYECTO,AMÉRICA LATINA,Varios,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,"411,663.24",No,1,1992,"411,663.24",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,INSTALACIÓN DE UNA F`´ABRICA DE PREFABRICADOS DE CEMENTO,,"29,509.69",No,1,1992,"29,509.69",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,CONSTRUCCIÓN DE VIVIENDAS CAMPESINAS EN PALACAGÜINA,,"78,131.57",No,1,1992,"78,131.57",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROLONGACION DEL PROYECTO SANITARIO INTEGRAL DEL MUNICIPIO DE VIANA,,"207,469.38",No,1,1992,"207,469.38",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE SALUD NORTE DE POTOSI,,"48,080.97",No,1,1992,"48,080.97",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO CENTRO DE SALUD MATERNO INFANTIL SAN FRANCISCO DE ASÍS,,"30,831.92",No,1,1992,"30,831.92",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,MOVILIZACIÓN COMUNAL PARA LA PREVENCIÓN DE LA TRIPANOSOMIASIS AMERICANA,,"74,104.79",No,1,1992,"74,104.79",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE SALUD INTEGRAL PARA LOS QUICHÚAS DEL ALTO NAPO,,"220,030.53",No,1,1992,"220,030.53",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Malawi,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,CONSTRUCCIÓN Y EQUIPAMIENTO DE UN CENTRO DE ATENCIÓN PRIMARIA Y DE FORMACIÓN HIGÉNICO-NUTRICIONAL EN KAVALA,,"180,303.63",No,1,1992,"180,303.63",,,,,,
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Población Saharaui,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE ASISTENCIA FARMACÉUTICA PARA LOS REFUGIADOS SAHARAUIS EN ARGELIA,,"295,096.94",No,1,1992,"295,096.94",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,FEDERACION ESPAÑOLA DE RELIGIOSOS DE ENSEÑANZA TITULARES DE CENTROS CATOLICOS (FERE - CECA),FERE-CECA,EDUCACIÓN PARA TODOS. PALAN DE PROMOCIÓN Y DESARROLLO CULTURAL Y SOCIAL,,"81,136.63",No,1,1992,"81,136.63",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FRATERNIDAD HISPANICA,FRAT HISPANICA,"POSTA MÉDICA. ""CENTENRARIO"". EQUIPAMIENTO",,"13,763.18",No,1,1992,"13,763.18",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,FUNDACION DE RELIGIOSOS SOCIO-SANITARIOS,FRS,ATENCIÓN SANITARIA DE ENFERMERÍA EN LOS HOSPITALES. EN CONSORCION CON FERE,,"248,758.91",No,1,1992,"248,758.91",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Chile,FUNDACION PARA EL DESARROLLO DEL COOPERATIVISMO Y LA ECONOMIA SOCIAL,FUNDESCOOP,ASESORAMIENTO Y TRANSFERENCIA TECNOLÓGICA A PEQUEÑAS Y MEDIANAS EMPRESAS. EN CONSORCIO CON ISCOD,,"83,600.78",No,1,1992,"83,600.78",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION IEPALA INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,IEPALA,ASENTAMIENTO DE DESPLAZADOS EN LA REGIÓN DE LA CIUDAD DE MAPUTO,,"179,342.01",No,1,1992,"179,342.01",,,,,,
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,FUNDACION IEPALA INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,IEPALA,ESTACIÓN DE CAPACITACIÓN AGRÍCOLA EN JERICÓ. EN CONSORCIO CON SODEPAZ Y PAZ Y COOPERACIÓN,,"198,033.49",No,1,1992,"198,033.49",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,RECONSTRUCCIÓN DEL SISTEMA EDUCATIVO Y FOMENTO DE LA ORGANIZACIÓN SOCIAL COMUNITARIA DE LA PROVINCIA DE HUAMBO,,"459,053.05",No,1,1992,"459,053.05",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,"CONSTRUCCIÓN DE TRES PROYECTOS DE RIEGO EN UNAMOTOMA, CHOCOROSÍ Y JUNOTEQUE-LACAYO, LA PAZ",,"78,672.48",No,1,1992,"78,672.48",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,DESARROLLO CAMPESINO DE LA ZONA DE TIRAQUE. EN CONSORCIO CON VETERMON,,"601,553.02",No,1,1992,"601,553.02",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Ecuador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,PROGRAMA DE AUTOCONSTRUCCIÓN Y AYUDA MUTUA HOGAR DE NAZARET,,"44,955.71",No,1,1992,"44,955.71",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,EMERGNCIA CONTRA EL CÓLERA,,"89,671.01",No,1,1992,"89,671.01",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,DESARROLLO SOSTENIBLE DE NUEVE COMUNIDADES DE DESPLAZADOS Y REPATRIADOS. EN CONSORCIO CON ENTREPUEBLOS,,"684,102.03",No,1,1992,"684,102.03",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Guatemala,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,CONSTRUCCIÓN DE UN CENTRO DE CAPACITACIÓN RURAL Y MEDIOAMBIENTAL EN SANTA MARIA DE CUAQUE. EN CONSORCIO CON ENTREPUEBLOS,,"95,020.01",No,1,1992,"95,020.01",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Paraguay,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,CAPACITACIÓN PARA EL MEJORAMIENTO AMBIENTAL Y DESARROLLO DE COMUNIDADS RURALES DE LA SERRANÍA DEL YVYTRUSU,,"344,680.44",No,1,1992,"344,680.44",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Perú,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,"PRODUCCIÓN AGROPECUARIA Y CAPACITACIÓN TÉCNICA EN LAS COMUNIDADES DE CALCA Y URUBAMBA, CUZCO. EN CONSORCIO CON CONCERTACION/S (HERMANOS DEL HOMBRE)",,"778,130.37",No,1,1992,"778,130.37",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,INSTITUTO DE PROMOCION Y APOYO AL DESARROLLO,IPADE,ELECTRIFICACIÓN RURAL DEL ALTIPLANO BOLIVIANO. III FASE.,,"113,290.78",No,1,1992,"113,290.78",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Cabo Verde,INSTITUTO DE PROMOCION Y APOYO AL DESARROLLO,IPADE,DESARROLLO RURAL INTERADO. SECTOR CAPRINO,,"83,540.68",No,1,1992,"83,540.68",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Panamá,INSTITUTO SINDICAL DE COOPERACION AL DESARROLLO (ISCOD),ISCOD,PROGRAMA PESQUERO PEDREGAL.CHIRIQUI. EN CONSORCION CON LARGO CABALLERO,,"170,627.34",No,1,1992,"170,627.34",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Venezuela,FUNDACIÓN JOVENES Y DESARROLLO,JOVENES Y DESARROLLO,"MÓDULO DE SERVICIO MEDICO-ASISTENCIAL AL CENTRO ""MAMÁ MARGARITA""",,"41,349.63",No,1,1992,"41,349.63",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Brasil,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,"CENTROS EDUCACIONALES ""JABOTAO"", "" LOS CHICOS DE LA CALLE""",,"94,358.90",No,1,1992,"94,358.90",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,PROMOCIÓN DE LA MUJER ENA ELA NGUENA. RESIDENCIA E INTERNADO,,"158,426.79",No,1,1992,"158,426.79",,,,,,
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,"RESIDENCIA DE ACOGIDA PARA NIÑAS DE LA CALLE ""CCANILLITAS""",,"66,111.33",No,1,1992,"66,111.33",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Colombia,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DESARROLLO RURAL INTEGRADO DE GRANJAS EN FACATATIVÁ,,"315,891.96",No,1,1992,"315,891.96",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CENTRO DE CAPACITACION TÉCNICA EN LA COLONIA POPOTLÁN II. EN CONSORCIO CON ENTRECULTURAS,,"63,226.47",No,1,1992,"63,226.47",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CONSTRUCCIÓND E 256 VIVIENDAS Y UN CENTRO COMUNAL DE CAPACITACIÓN INTEGRAL PARA FAMILIAS DESARRAIGADAS Y REPATRIADAS,,"599,930.28",No,1,1992,"599,930.28",,,,,,
1992,PROYECTO,ASIA,Filipinas,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CONSTRUCCIÓN DE UNA GRANJA DE CERDOS PARA CEBO,,"299,003.52",No,1,1992,"299,003.52",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Panamá,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DESARROLLOL DE PESCA ARTESANAL EN CINCO COMUNIDADES DE LA COMARCA KUNA YALA,,"42,070.85",No,1,1992,"42,070.85",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Perú,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,"PROYECTO DE DESARROLLO AGROFORESTAL, TERRITORIO AGUARUNA-HUAMBISA",,"174,293.51",No,1,1992,"174,293.51",,,,,,
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DISPENSARIO Y CENTRO NUTRICIONAL,,"112,870.07",No,1,1992,"112,870.07",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Venezuela,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,PROYECTO DE PROMOCIÓN POPULAR Y CAPACITACIÓN PARA EL TRABAJO,,"97,003.35",No,1,1992,"97,003.35",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,MEDICOS DEL MUNDO,MEDICOS DEL MUNDO,PUESTA EN FUNCIONAMIENTO DEL INSTITUTO OFTALMOLÓGICO DE LUANDA,,"685,153.80",No,1,1992,"685,153.80",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Guatemala,MEDICOS DEL MUNDO,MEDICOS DEL MUNDO,SANEAMIENTO AMBIENTAL PARA SANTIAGO ATITLAN,,"19,773.30",No,1,1992,"19,773.30",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Argentina,FUNDACIO PRIVADA MON-3,MON-3,PROGRAMA DE TRABAJO Y ALIMENTACIÓN CON SECTORES SOCIALES MARGINALES DE LA CIUDAD DE PARAN (ENTRE RIOS),,"7,933.36",No,1,1992,"7,933.36",,,,,,
