Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total,Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1992,PROYECTO,AMÉRICA LATINA,Bolivia,ASOCIACION DE AMIGOS DE DOÑANA,AMIGOS DE DOÑANA,"FORMACIÓN, APOYO INSTITUCIONAL Y ACCIOONES DE CONSERVACIÓN PARA EL ECODESARROLLO EN EL DEPARTAMENTO DE SNATA CRUZ",,518072.43,No,1,1992,518072.43,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION ANESVAD,ANESVAD,CONSTRUCCIÓN DE UN DISPENSARIO MÉDICO,,30291.01,No,1,1992,30291.01,0,0,0,0,0,0
1992,PROYECTO,ASIA,Filipinas,FUNDACION ANESVAD,ANESVAD,MEJORA Y EQUIPAMIENTO DE HOSPITALES DE LEPROSOS,,33656.68,No,1,1992,33656.68,0,0,0,0,0,0
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,ASOCIACION PRO DERECHOS HUMANOS DE ESPAÑA,APDHE,"CENTRO DE SALUD PRIMARIA EN DEIR ABU MISHA'AL",,47479.96,No,1,1992,47479.96,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION ANDALUZA POR LA SOLIDARIDAD Y LA PAZ,ASPA,APOYO AL DESARROLLO EN EL SECTOR VIVIENDA PARA LAS COMUNIDADES DE LA ZONA NORTE DE USULUTAN. EN CONSORCIO CON ACPAC,,325808.66,No,1,1992,325808.66,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Uruguay,ASOCIACION ANDALUZA POR LA SOLIDARIDAD Y LA PAZ,ASPA,TALLER DE CARPINTERIA Y MANUALIDDES PARA JÓVENES DE MONEVIDEOº,,16317.48,No,1,1992,16317.48,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Colombia y Venezuela,ASOCIACION DE TECNICOS ESPECIALISTAS EN INVESTIGACION Y ESTUDIOS SOBRE LA REALIDAD LATINOAMERICANA (ATELIER),ATELIER,PROMOCIÓN DE LA COOPERACIÓN EMPRESARIAL ENTRE PYMES DE SECTORES DE LA COMUNIDAD DE VALENCIA. DEINICIÓN DE TIPOS DE COOPERACIÓN ENTRE PYMES DEL SECTOR JUEGETE DE LA COMUNIDAD VALENCIANA/COLOMBIA Y VENEZUELA,,14135.8,No,1,1992,14135.8,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"FOMENTO GANADERO EN LAS COMUNIDADES INDÍGENAS DE CHIMBA, EL CAHUPI Y EUGENIO ESPEJO DEL CANTÓN CAYENBE",,33416.27,No,1,1992,33416.27,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"MENEJO Y RENOVACIÓN DE 81 HECTÁREAS DE CAFETALES EN EL TABURETE, USULTUAN",,59981.01,No,1,1992,59981.01,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,CONSTRUCCIÓN CANAL DE RIEGO DE 200 HECTÁREAS EN BAMBAMARCA,,42251.15,No,1,1992,42251.15,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Chile,FUNDACION CULTURAL PRIVADA CANOVAS DEL CASTILLO,CANOVAS DEL CASTILLO,ASISTENCIA JURÍDICA PAA POBLACIÓN INDÍGENA Y MUJERES,,64308.3,No,1,1992,64308.3,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Kenia,CARITAS ESPAÑOLA,CARITAS,ESCUELAS TALLER PARA LA COMUNIDAD DE NBUL BUL,,14424.29,No,1,1992,14424.29,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,CARITAS ESPAÑOLA,CARITAS,SALUD COMUNITAIA Y SANEAMIENTO AMBIENTAL,,26985.44,No,1,1992,26985.44,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,CARITAS ESPAÑOLA,CARITAS,CRÉDITO ROTATIVO PARA EL FOMENTO AGROPECUARIO SOSTENIBLE,,150253.03,No,1,1992,150253.03,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION CEAR - HABITAFRICA,CEAR,"AUTOCONSTRUCCIÓN DE VIVIENDAS, SANEAMIENTO Y ACTIVIDADES SOCIOEDUCATIVAS EN LA COMUNIDAD DE REPATRIADOS ""PADRE RUTILLO GRANDE""",,78792.69,No,1,1992,78792.69,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION CEAR - HABITAFRICA,CEAR,REFORESTACIÓN Y DESARROLLO DE LAS MASSACAS,,150253.03,No,1,1992,150253.03,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Chile,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,AMPLIACIÓN DE TALLER AUTOGESTIONADO PARA TRABAJADORES EVENTUALES,,51086.03,No,1,1992,51086.03,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Honduras,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PROYECTO DE DESARROLLO AGROPRODUCTIVO EN LA REGI´LN DE YERO,,66051.23,No,1,1992,66051.23,0,0,0,0,0,0
1992,PROYECTO,ESPAÑA,España,CENTRE DE INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA,CIDOB,SEGUIMIENTO DE LOS PROYECTOS QUE SE LLEVARÁN A CABO A CARGO A LAS AYUDA SY SUBVENCIONES QUE SE CONCEDAN EN 1992 A PROYECTOS DE COOPERACIÓN AL DESARROLLO. EN CONSORCIO CON HEGOA,,96161.94,No,1,1992,96161.94,0,0,0,0,0,0
1992,PROYECTO,ESPAÑA,España,CENTRE DE INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA,CIDOB,SEGUIMIENTO DE PROYECTOS IRPF 1992. EN CONSORCIO CON HEGOA,,283377.21,No,1,1992,283377.21,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Argentina,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROMOCIÓN SOCIOECONÓMICA DE MUJERES DE SECTORES POPULARES DE GRAN BUENOS AIRES,,62505.26,No,1,1992,62505.26,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,FOMENTO DE ACTIVIDADES AGROINDUSTRIALES PARA COOPERATIVAS CAMPESINAS,,238601.81,No,1,1992,238601.81,0,0,0,0,0,0
1992,PROYECTO,ESPAÑA,España,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROGRAMA DE SENSIBILIZACIÓN DE LA OPINIÓN PUBLÍCA ESPAÑOLA SOBRE LA PROBLEMÁTICA DE LOS INMIGRANTES DEL TERCER MUNDO Y DE LOS PAÍSES DEL ESTE DE EUROPA EN ESPAÑA Y SU RELACIÓN CON LA COOPERACIÓN AL DESARROLLO,,23439.47,No,1,1992,23439.47,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Colombia,FUNDACION CODESPA,CODESPA,CREACIÓN DE AMIEMPRESAS EN ANTIOQUÍA,,120202.42,No,1,1992,120202.42,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION CODESPA,CODESPA,MONTAJE DE UN CENTRO DE SERVICIOS BÁSICOS COMUNITARIOS,,447754.02,No,1,1992,447754.02,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Guatemala,FUNDACION CODESPA,CODESPA,ESCUELA TALLER DE HOSTELERIA,,122967.08,No,1,1992,122967.08,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION CODESPA,CODESPA,PROYECTO DE AMPLIACIÓN DEL INSTITUTO SUPERIOR PEDAGÓGICO NO ESTATAL SANTO TORIBIO DE MOGRAVIEJO,,349668.84,No,1,1992,349668.84,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,CONCERTACION/S,CONCERTACIÓN/S,PROGRAMA DE DESARROLLO REGIONAL SUBYUNGUEÑO (SUBPROYECTO PRODUCTIVO),,279470.63,No,1,1992,279470.63,0,0,0,0,0,0
1992,PROYECTO,ESPAÑA,España,COORDINADORA DE ORGANIZACIONES NO GUBERNAMENTALES PARA EL DESARROLLO DE ESPAÑA,COORDINADORA DE ONGD,DISEÑO DE UNA CAMPAÑA DE EDUCACIÓN PARA EL DESARROLLO Y SENSIBILIZACIÓN DE LA OPINIÓN PÚBLICA,,24581.4,No,1,1992,24581.4,0,0,0,0,0,0
1992,PROYECTO,ESPAÑA,España,COORDINADORA DE ORGANIZACIONES NO GUBERNAMENTALES PARA EL DESARROLLO DE ESPAÑA,COORDINADORA DE ONGD,PROGRAMAS DE ACTIVIDADES ESP0ECÍFICAS DE LA COORDINADORA 1992,,69116.39,No,1,1992,69116.39,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,EDIFICANDO-COMUNIDAD DE NAZARETH,EDIFICANDO,PLAN DE DESARROLLO INTEGRAL DEL CAMPESINADO AYMARA. PROYECTO AYMARA CHOQUENARIA (FASE III),,894486.32,No,1,1992,894486.32,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Varios,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DISEÑO DE TALLERES DE USO MÚLTIPLE,,90512.42,No,1,1992,90512.42,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Varios,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,411663.24,No,1,1992,411663.24,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,INSTALACIÓN DE UNA F`´ABRICA DE PREFABRICADOS DE CEMENTO,,29509.69,No,1,1992,29509.69,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,CONSTRUCCIÓN DE VIVIENDAS CAMPESINAS EN PALACAGÜINA,,78131.57,No,1,1992,78131.57,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROLONGACION DEL PROYECTO SANITARIO INTEGRAL DEL MUNICIPIO DE VIANA,,207469.38,No,1,1992,207469.38,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE SALUD NORTE DE POTOSI,,48080.97,No,1,1992,48080.97,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO CENTRO DE SALUD MATERNO INFANTIL SAN FRANCISCO DE ASÍS,,30831.92,No,1,1992,30831.92,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,MOVILIZACIÓN COMUNAL PARA LA PREVENCIÓN DE LA TRIPANOSOMIASIS AMERICANA,,74104.79,No,1,1992,74104.79,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE SALUD INTEGRAL PARA LOS QUICHÚAS DEL ALTO NAPO,,220030.53,No,1,1992,220030.53,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Malawi,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,CONSTRUCCIÓN Y EQUIPAMIENTO DE UN CENTRO DE ATENCIÓN PRIMARIA Y DE FORMACIÓN HIGÉNICO-NUTRICIONAL EN KAVALA,,180303.63,No,1,1992,180303.63,0,0,0,0,0,0
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Población Saharaui,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROYECTO DE ASISTENCIA FARMACÉUTICA PARA LOS REFUGIADOS SAHARAUIS EN ARGELIA,,295096.94,No,1,1992,295096.94,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,FEDERACION ESPAÑOLA DE RELIGIOSOS DE ENSEÑANZA TITULARES DE CENTROS CATOLICOS (FERE - CECA),FERE-CECA,EDUCACIÓN PARA TODOS. PALAN DE PROMOCIÓN Y DESARROLLO CULTURAL Y SOCIAL,,81136.63,No,1,1992,81136.63,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,FRATERNIDAD HISPANICA,FRAT HISPANICA,"POSTA MÉDICA. ""CENTENRARIO"". EQUIPAMIENTO",,13763.18,No,1,1992,13763.18,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,FUNDACION DE RELIGIOSOS SOCIO-SANITARIOS,FRS,ATENCIÓN SANITARIA DE ENFERMERÍA EN LOS HOSPITALES. EN CONSORCION CON FERE,,248758.91,No,1,1992,248758.91,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Chile,FUNDACION PARA EL DESARROLLO DEL COOPERATIVISMO Y LA ECONOMIA SOCIAL,FUNDESCOOP,ASESORAMIENTO Y TRANSFERENCIA TECNOLÓGICA A PEQUEÑAS Y MEDIANAS EMPRESAS. EN CONSORCIO CON ISCOD,,83600.78,No,1,1992,83600.78,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION IEPALA INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,IEPALA,ASENTAMIENTO DE DESPLAZADOS EN LA REGIÓN DE LA CIUDAD DE MAPUTO,,179342.01,No,1,1992,179342.01,0,0,0,0,0,0
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,FUNDACION IEPALA INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,IEPALA,ESTACIÓN DE CAPACITACIÓN AGRÍCOLA EN JERICÓ. EN CONSORCIO CON SODEPAZ Y PAZ Y COOPERACIÓN,,198033.49,No,1,1992,198033.49,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,RECONSTRUCCIÓN DEL SISTEMA EDUCATIVO Y FOMENTO DE LA ORGANIZACIÓN SOCIAL COMUNITARIA DE LA PROVINCIA DE HUAMBO,,459053.05,No,1,1992,459053.05,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,"CONSTRUCCIÓN DE TRES PROYECTOS DE RIEGO EN UNAMOTOMA, CHOCOROSÍ Y JUNOTEQUE-LACAYO, LA PAZ",,78672.48,No,1,1992,78672.48,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,DESARROLLO CAMPESINO DE LA ZONA DE TIRAQUE. EN CONSORCIO CON VETERMON,,601553.02,No,1,1992,601553.02,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Ecuador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,PROGRAMA DE AUTOCONSTRUCCIÓN Y AYUDA MUTUA HOGAR DE NAZARET,,44955.71,No,1,1992,44955.71,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,EMERGNCIA CONTRA EL CÓLERA,,89671.01,No,1,1992,89671.01,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,DESARROLLO SOSTENIBLE DE NUEVE COMUNIDADES DE DESPLAZADOS Y REPATRIADOS. EN CONSORCIO CON ENTREPUEBLOS,,684102.03,No,1,1992,684102.03,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Guatemala,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,CONSTRUCCIÓN DE UN CENTRO DE CAPACITACIÓN RURAL Y MEDIOAMBIENTAL EN SANTA MARIA DE CUAQUE. EN CONSORCIO CON ENTREPUEBLOS,,95020.01,No,1,1992,95020.01,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Paraguay,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,CAPACITACIÓN PARA EL MEJORAMIENTO AMBIENTAL Y DESARROLLO DE COMUNIDADS RURALES DE LA SERRANÍA DEL YVYTRUSU,,344680.44,No,1,1992,344680.44,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Perú,"FUNDACIO INTERMON OXFAM, FUNDACIO PRIVADA",INTERMON OXFAM,"PRODUCCIÓN AGROPECUARIA Y CAPACITACIÓN TÉCNICA EN LAS COMUNIDADES DE CALCA Y URUBAMBA, CUZCO. EN CONSORCIO CON CONCERTACION/S (HERMANOS DEL HOMBRE)",,778130.37,No,1,1992,778130.37,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,INSTITUTO DE PROMOCION Y APOYO AL DESARROLLO,IPADE,ELECTRIFICACIÓN RURAL DEL ALTIPLANO BOLIVIANO. III FASE.,,113290.78,No,1,1992,113290.78,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Cabo Verde,INSTITUTO DE PROMOCION Y APOYO AL DESARROLLO,IPADE,DESARROLLO RURAL INTERADO. SECTOR CAPRINO,,83540.68,No,1,1992,83540.68,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Panamá,INSTITUTO SINDICAL DE COOPERACION AL DESARROLLO (ISCOD),ISCOD,PROGRAMA PESQUERO PEDREGAL.CHIRIQUI. EN CONSORCION CON LARGO CABALLERO,,170627.34,No,1,1992,170627.34,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Venezuela,FUNDACIÓN JOVENES Y DESARROLLO,JOVENES Y DESARROLLO,"MÓDULO DE SERVICIO MEDICO-ASISTENCIAL AL CENTRO ""MAMÁ MARGARITA""",,41349.63,No,1,1992,41349.63,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Brasil,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,"CENTROS EDUCACIONALES ""JABOTAO"", "" LOS CHICOS DE LA CALLE""",,94358.9,No,1,1992,94358.9,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Guinea Ecuatorial,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,PROMOCIÓN DE LA MUJER ENA ELA NGUENA. RESIDENCIA E INTERNADO,,158426.79,No,1,1992,158426.79,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,ASOCIACION JUVENIL MADRESELVA,MADRESELVA ONGD,"RESIDENCIA DE ACOGIDA PARA NIÑAS DE LA CALLE ""CCANILLITAS""",,66111.33,No,1,1992,66111.33,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Colombia,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DESARROLLO RURAL INTEGRADO DE GRANJAS EN FACATATIVÁ,,315891.96,No,1,1992,315891.96,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CENTRO DE CAPACITACION TÉCNICA EN LA COLONIA POPOTLÁN II. EN CONSORCIO CON ENTRECULTURAS,,63226.47,No,1,1992,63226.47,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CONSTRUCCIÓND E 256 VIVIENDAS Y UN CENTRO COMUNAL DE CAPACITACIÓN INTEGRAL PARA FAMILIAS DESARRAIGADAS Y REPATRIADAS,,599930.28,No,1,1992,599930.28,0,0,0,0,0,0
1992,PROYECTO,ASIA,Filipinas,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,CONSTRUCCIÓN DE UNA GRANJA DE CERDOS PARA CEBO,,299003.52,No,1,1992,299003.52,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Panamá,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DESARROLLOL DE PESCA ARTESANAL EN CINCO COMUNIDADES DE LA COMARCA KUNA YALA,,42070.85,No,1,1992,42070.85,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Perú,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,"PROYECTO DE DESARROLLO AGROFORESTAL, TERRITORIO AGUARUNA-HUAMBISA",,174293.51,No,1,1992,174293.51,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,DISPENSARIO Y CENTRO NUTRICIONAL,,112870.07,No,1,1992,112870.07,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Venezuela,MANOS UNIDAS COMITE CATOLICO DE LA CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,MANOS UNIDAS,PROYECTO DE PROMOCIÓN POPULAR Y CAPACITACIÓN PARA EL TRABAJO,,97003.35,No,1,1992,97003.35,0,0,0,0,0,0
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,MEDICOS DEL MUNDO,MEDICOS DEL MUNDO,PUESTA EN FUNCIONAMIENTO DEL INSTITUTO OFTALMOLÓGICO DE LUANDA,,685153.8,No,1,1992,685153.8,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Guatemala,MEDICOS DEL MUNDO,MEDICOS DEL MUNDO,SANEAMIENTO AMBIENTAL PARA SANTIAGO ATITLAN,,19773.3,No,1,1992,19773.3,0,0,0,0,0,0
